UNIPROT_AC	name	ENSEMBL_ID	GENE_NAME	DO_ID
Q8CHK3	MBOA7	ENSMUSG00000035596	Mboat7	DOID:10908
Q8CHK4	KAT5	ENSMUSG00000024926	Kat5	DOID:11758|DOID:1612
Q8CHL0	FZD5	ENSRNOG00000014678	Fzd5	DOID:12270
Q8CHN6	SGPL1	ENSRNOG00000000565	Sgpl1	DOID:10595|DOID:1184
Q8CHP6	PHC3	ENSMUSG00000037652	Phc3	DOID:162
Q8CHR6	DPYD	ENSMUSG00000033308	Dpyd	DOID:14218|DOID:1793|DOID:3121|DOID:409|DOID:9256|DOID:9952
Q8CHT0	AL4A1	ENSMUSG00000028737	Aldh4a1	DOID:0014667
Q8CHY3	DYM	ENSMUSG00000035765	Dym	DOID:2256
Q8CHY6	P66A	ENSMUSG00000036180	Gatad2a	DOID:1059
Q8CI15	SPHK1	ENSMUSG00000061878	Sphk1	DOID:0050700|DOID:299|DOID:3070|DOID:9352
Q8CI51	PDLI5	ENSMUSG00000028273	Pdlim5	DOID:0050700|DOID:12930|DOID:423
Q8CI61	BAG4	ENSMUSG00000037316	Bag4	DOID:1793
Q8CI75	DI3L2	ENSMUSG00000053333	Dis3l2	DOID:2154
Q8CIB5	FERM2	ENSMUSG00000037712	Fermt2	DOID:9119
Q8CIB9	ESCO2	ENSMUSG00000022034	Esco2	DOID:5325
Q8CIF4	BTD	ENSMUSG00000021900	Btd	DOID:856
Q8CIG3	KDM1B	ENSMUSG00000038080	Kdm1b	DOID:768
Q8CIG8	ANM5	ENSMUSG00000023110	Prmt5	DOID:2696|DOID:2841|DOID:4440
Q8CIH9	Q8CIH9	ENSMUSG00000029246	Ppat	DOID:4450|DOID:684
Q8CIK8	RFWD3	ENSMUSG00000033596	Rfwd3	DOID:13636
Q8CIM7	CP2DQ	ENSMUSG00000022445	Cyp2d26	DOID:2048|DOID:2841|DOID:4483|DOID:9119|DOID:9952
Q8CIN7	IMPA2	ENSRNOG00000018516	Impa2	DOID:3312|DOID:5419
Q8CIN9	RFFL	ENSRNOG00000007596	Rffl	DOID:10763
Q8CIP4	MARK4	ENSMUSG00000030397	Mark4	DOID:1289
Q8CIQ6	MTR1B	ENSMUSG00000050901	Mtnr1b	DOID:2913|DOID:9352
Q8CIQ7	DOCK3	ENSMUSG00000039716	Dock3	DOID:1094
