pubchem_cid	pubchem_url	drugcentral_id	drugcentral_url
37333	https://pubchem.ncbi.nlm.nih.gov/compound/37333	1866	https://drugcentral.org/drugcard/1866
3735	https://pubchem.ncbi.nlm.nih.gov/compound/3735	1465	https://drugcentral.org/drugcard/1465
3736	https://pubchem.ncbi.nlm.nih.gov/compound/3736	1468	https://drugcentral.org/drugcard/1468
37367	https://pubchem.ncbi.nlm.nih.gov/compound/37367	469	https://drugcentral.org/drugcard/469
3737	https://pubchem.ncbi.nlm.nih.gov/compound/3737	1469	https://drugcentral.org/drugcard/1469
3738	https://pubchem.ncbi.nlm.nih.gov/compound/3738	1470	https://drugcentral.org/drugcard/1470
3739	https://pubchem.ncbi.nlm.nih.gov/compound/3739	1455	https://drugcentral.org/drugcard/1455
37393	https://pubchem.ncbi.nlm.nih.gov/compound/37393	1350	https://drugcentral.org/drugcard/1350
3740	https://pubchem.ncbi.nlm.nih.gov/compound/3740	3991	https://drugcentral.org/drugcard/3991
3741	https://pubchem.ncbi.nlm.nih.gov/compound/3741	1471	https://drugcentral.org/drugcard/1471
3742	https://pubchem.ncbi.nlm.nih.gov/compound/3742	1472	https://drugcentral.org/drugcard/1472
3743	https://pubchem.ncbi.nlm.nih.gov/compound/3743	1473	https://drugcentral.org/drugcard/1473
37464	https://pubchem.ncbi.nlm.nih.gov/compound/37464	2078	https://drugcentral.org/drugcard/2078
3747	https://pubchem.ncbi.nlm.nih.gov/compound/3747	1477	https://drugcentral.org/drugcard/1477
3748	https://pubchem.ncbi.nlm.nih.gov/compound/3748	1480	https://drugcentral.org/drugcard/1480
3749	https://pubchem.ncbi.nlm.nih.gov/compound/3749	1481	https://drugcentral.org/drugcard/1481
37497	https://pubchem.ncbi.nlm.nih.gov/compound/37497	1097	https://drugcentral.org/drugcard/1097
3752	https://pubchem.ncbi.nlm.nih.gov/compound/3752	1484	https://drugcentral.org/drugcard/1484
37542	https://pubchem.ncbi.nlm.nih.gov/compound/37542	2373	https://drugcentral.org/drugcard/2373
3759	https://pubchem.ncbi.nlm.nih.gov/compound/3759	1490	https://drugcentral.org/drugcard/1490
37614	https://pubchem.ncbi.nlm.nih.gov/compound/37614	3360	https://drugcentral.org/drugcard/3360
3762	https://pubchem.ncbi.nlm.nih.gov/compound/3762	1491	https://drugcentral.org/drugcard/1491
3763	https://pubchem.ncbi.nlm.nih.gov/compound/3763	1493	https://drugcentral.org/drugcard/1493
37632	https://pubchem.ncbi.nlm.nih.gov/compound/37632	93	https://drugcentral.org/drugcard/93
3767	https://pubchem.ncbi.nlm.nih.gov/compound/3767	1497	https://drugcentral.org/drugcard/1497
3769	https://pubchem.ncbi.nlm.nih.gov/compound/3769	1735	https://drugcentral.org/drugcard/1735
3775	https://pubchem.ncbi.nlm.nih.gov/compound/3775	1500	https://drugcentral.org/drugcard/1500
3776	https://pubchem.ncbi.nlm.nih.gov/compound/3776	4215	https://drugcentral.org/drugcard/4215
37767	https://pubchem.ncbi.nlm.nih.gov/compound/37767	2193	https://drugcentral.org/drugcard/2193
37768	https://pubchem.ncbi.nlm.nih.gov/compound/37768	157	https://drugcentral.org/drugcard/157
